facialacc_cls;budget;kvsr;kfsr;kcsr;kvr;kesr;subkesr;meanstype;summa
839010010;151;939;113;9900060000;612;241;1001400;10183;554600.0
839010010;151;939;113;9900060000;612;241;1001400;10183;-554600.0
839010010;151;939;113;9900060000;612;241;1001400;10189;600000.0
839010010;151;939;113;9900060000;612;241;1001400;10189;-600000.0
839010010;151;939;113;9900060000;612;241;1001400;10190;100000.0
839010010;151;939;113;9900060000;612;241;1001400;10190;-100000.0
839010010;151;939;503;9900060000;611;241;1002000;10186;193000.0
839010010;151;939;503;9900060000;611;241;1002000;10186;-193000.0
839010010;151;939;503;9900060000;611;241;1002000;10191;100000.0
839010010;151;939;503;9900060000;611;241;1002000;10191;-100000.0
839010010;151;939;503;9900060000;612;241;1002000;10189;1630500.0
839010010;151;939;503;9900060000;612;241;1002000;10189;-1630500.0
839010010;151;939;503;9900020000;244;225;1002000;10004;-1137425.01
839010010;151;939;503;9900020000;244;226;1002000;10004;1137425.01
844010010;155;944;113;9900060000;611;241;1001400;10176;-90000.0
844010010;155;944;113;9900060000;611;241;1001400;10188;90000.0
114010010;146;914;707;9900060000;621;241;1001000;10181;160300.0
114010010;146;914;707;9900060000;621;241;1001000;10183;139000.0
114010010;146;914;707;9900060000;621;241;1001000;10186;151300.0
114010010;146;914;707;9900060000;621;241;1001000;10191;603000.0
114010010;146;914;707;9900060000;622;241;1001000;10184;-1053600.0
103010010;146;903;804;6900060000;611;241;1001000;10183;-114603.12
103010010;146;903;804;6900060000;611;241;1001000;10191;-400000.0
103010010;146;903;804;6900060000;611;241;1001000;10176;395286.86
103010010;146;903;804;6900060000;611;241;1001000;10178;119316.26
104010010;146;904;703;5900060000;612;241;1001000;10187;46937.9
104010010;146;904;703;5900060000;612;241;1001000;10180;100000.0
104010010;146;904;703;5900060000;612;241;1001000;10186;-146937.9
104010010;146;904;1101;5900060000;611;241;1001000;10186;350000.0
104010010;146;904;1101;5900060000;612;241;1001000;10177;241253.0
104010010;146;904;1101;5900060000;612;241;1001000;10180;60000.0
104010010;146;904;1101;5900060000;612;241;1001000;10186;-532803.0
104010010;146;904;1101;5900060000;612;241;1001000;10187;-118450.0
104010010;146;904;1101;2000060000;622;241;1001000;10186;-110791.0
104010010;146;904;1101;2000060000;622;241;1001000;10180;2700.0
104010010;146;904;1101;2000060000;622;241;1001000;10191;108091.0
103010010;146;903;801;6900060000;612;241;1001000;10186;-2064300.0
103010010;146;903;801;20000S3080;612;241;1001087;10184;2064300.0
114010010;146;914;1003;5700080000;313;262;1001001;10162;-1247000.0
114010010;146;914;1003;5700080000;313;262;1001001;10161;1247000.0
114010010;146;914;1003;09000R4970;322;262;2002650;10194;60881548.33
117010010;146;917;1003;9900054850;323;310;3002000;10004;1901482.0
134010020;146;934;113;9900012000;244;221;1001312;10004;-2000.0
134010020;146;934;113;9900012000;244;340;1001312;10004;-20000.0
134010020;146;934;113;9900012000;852;290;1001312;10004;-5000.0
134010020;146;934;113;9900012000;244;221;1001312;10004;2000.0
134010020;146;934;113;9900012000;244;340;1001312;10004;20000.0
134010020;146;934;113;9900012000;852;290;1001312;10004;5000.0
157010010;146;957;309;9900090000;851;290;1001200;10004;-500000.0
157010010;146;957;309;9900090000;852;290;1001200;10004;-70000.0
157010010;146;957;309;9900090000;853;290;1001200;10004;-30000.0
157010010;146;957;309;9900090000;851;291;1001200;10004;500000.0
157010010;146;957;309;9900090000;852;291;1001200;10004;70000.0
157010010;146;957;309;9900090000;853;291;1001200;10004;30000.0
157010030;146;957;309;9900012000;851;290;1001306;10004;-100000.0
157010030;146;957;309;9900012000;852;290;1001306;10004;-100000.0
157010030;146;957;309;9900012000;853;290;1001306;10004;-15000.0
157010030;146;957;309;9900012000;851;291;1001306;10004;100000.0
157010030;146;957;309;9900012000;852;291;1001306;10004;100000.0
157010030;146;957;309;9900012000;853;291;1001306;10004;15000.0
157010050;146;957;309;9900012000;851;290;1001310;10004;-150000.0
157010050;146;957;309;9900012000;852;290;1001310;10004;-50000.0
157010050;146;957;309;9900012000;853;290;1001310;10004;-28000.0
157010050;146;957;309;9900012000;851;291;1001310;10004;150000.0
157010050;146;957;309;9900012000;852;291;1001310;10004;50000.0
157010050;146;957;309;9900012000;853;291;1001310;10004;28000.0
114010010;146;914;1003;09000R4970;322;262;3002650;10194;23174158.33
117010010;146;917;501;9900020000;243;225;1002000;10004;-417771.48
117010010;146;917;501;9900020000;244;225;1002000;10004;417771.48
843010010;147;943;113;9900090000;853;290;1001400;10004;-100.0
843010010;147;943;113;9900090000;853;291;1001400;10004;100.0
843010010;147;943;804;9900020000;244;290;1001023;10004;-149920.0
843010010;147;943;804;9900020000;244;296;1001023;10004;149920.0
843010010;147;943;1101;9900020000;244;290;1001019;10004;-129508.0
843010010;147;943;1101;9900020000;244;296;1001019;10004;129508.0
842010010;154;942;314;9900020000;244;226;1001406;10004;-10000.0
842010010;154;942;314;9900060000;634;242;1001406;10004;-2358000.0
842010010;154;942;113;9900060000;611;241;1001400;10176;109831.03
842010010;154;942;113;9900060000;611;241;1001400;10178;33168.97
843010010;147;943;503;9900020000;244;222;1002000;10004;-11193.0
